TradeName,ActiveIngredient,Organic,LabelPDF,WebLabelPDF,EPARegistration,CompanyName,CompanyContact,CompanyWebsite,StatesUsed,WorkerReentry,PreHarvestInterval,EfficacyData,WebEfficacyData,OrganicWeb
Enstar II Insect Growth Regulator (Enstar 5E),S-Kinoprene,N,http://ir4.rutgers.edu/Biopesticides/Labels/enstarII.pdf,YES,2724-476,Central Life Sciences/Wellmark Int.,Doug Vangundy Doug.Vangundy@wellmarkint.com,http://www.centrallifesciences.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,https://extension.tennessee.edu/publications/documents/pb1594.pdf,YES,No
Allityn Insect Repellent,Garlic oil,N,http://ir4.rutgers.edu/Biopesticides/Labels/ALLITYN.pdf,YES,5905-531,Helena Chemical Company,Paul Kennedy (901) 761-0050 kennedyp@helenachemical.com,http://www.helenachemical.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,12 hours,http://www.ipmcenters.org/pmsp/pdf/MIcarrotPMSP2007.pdf,YES,No
Anti-Pest-O Original Concentrate,"Garlic, Capsaicin, Azadirachtin",N,https://www3.epa.gov/pesticides/chem_search/ppls/087357-00001-20150504.pdf,YES,87357-1,"Antipesto, Inc.",888-250-8134 info@anti-pest-o.com,https://www.anti-pest-o.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,,,No
Azera Insecticide,Azadirachtin + Pyrethrins,Y,http://www.domyownpestcontrol.com/msds/Azera%20Spec%20Label.pdf,YES,1021-1872,MGK,Steven Klaysmat 800-645-6466 steve.klaysmat@mgk.com,http://mgk.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,12 hours,0 days,https://amt.oxfordjournals.org/content/amt/39/1/B7.full.pdf,YES,Yes
Azatrol EC Insecticide,Azadirachtin,Y,http://www.cdms.net/LDat/ld6HN009.pdf,YES,2217-836,PBI-Gordon,1-800-884-3179,http://www.pbigordon.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://ir4.rutgers.edu/Biopesticides/bioFinalReport/sadof%2004.pdf,YES,Yes
Mycotrol WPO,Beauveria bassiana strain GHA,N,http://www.cdms.net/ldat/ldCUJ000.pdf,YES,82074-2,BioWorks Inc.,Matt Krause (800) 877-9443 mkrause@bioworksinc.com,http://bioworksinc.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://ir4.rutgers.edu/Biopesticides/bioFinalReport/blueberry%20maggot%2009.pdf,YES,No
SuffOil-X,Mineral Oil,Y,http://www.bioworksinc.com/products/suffoil-x/suffoil-x-label.pdf,YES,48813-1-68539,BioWorks Inc.,Matt Krause (800) 877-9443 mkrause@bioworksinc.com,http://bioworksinc.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,,,Yes
BotaniGard ES,Beauveria bassiana strain GHA,N,http://www.cdms.net/ldat/ld99C003.pdf,YES,82074-1,BioWorks Inc.,Matt Krause (800) 877-9443 mkrause@bioworksinc.com,http://bioworksinc.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://ir4.rutgers.edu/Biopesticides/pnnFinalReport/B00072-15-GA01.pdf,YES,No
BotaniGard 22WP,Beauveria bassiana strain GHA,N,http://www.bioworksinc.com/products/botanigard-22wp/botanigard-22wp-label.pdf,YES,82074-2,BioWorks Inc.,Matt Krause (800) 877-9443 mkrause@bioworksinc.com,http://bioworksinc.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://ir4.rutgers.edu/Biopesticides/bioFinalReport/bogran%2007.pdf,YES,No
Cinnacure Ready to Use,Cinnamaldehyde,N,http://ir4.rutgers.edu/Biopesticides/Labels/CinnacureRTU.pdf,YES,58866-13,"ProGuard, Inc.",,,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,0 hours,0 days,,,No
PFR-97 20% WDG,Isaria fumosorosea Apopka Strain 97 (formerly Paecilomyces fumosoroseus),Y,http://www.cdms.net/ldat/ld95A006.pdf,YES,70051-19,Certis USA,Brett Highland 941-484-4523 bhighland@certisusa.com,http://certisusa.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://ir4.rutgers.edu/Biopesticides/pnnFinalReport/B00072-15-GA01.pdf,YES,Yes
Trilogy,Clarified hydrophobic Extract of Neem Oil,Y,http://www.cdms.net/LDat/ld25F002.pdf,YES,70051-2,Certis USA,Brett Highland 941-484-4523 bhighland@certisusa.com,http://certisusa.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://ir4.rutgers.edu/Biopesticides/bioFinalReport/Lalancette%2011.pdf,YES,Yes
Naturalis L,Beauveria bassiana (ATCC 74040),N,http://ir4.rutgers.edu/Biopesticides/Labels/naturalis.pdf,YES,53871-9,Troy BioSciences,Barbara Patton (602) 233-9047 pattonb@troybiosciences.com,http://www.troybiosciences.com/index3.asp,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,https://goo.gl/kv8hAo,YES,No
Anti-Pest-O RTU,"Garlic, Capsaicin, Azadirachtin",N,https://www3.epa.gov/pesticides/chem_search/ppls/087357-00002-20150304.pdf,YES,87357-2,"Antipesto, Inc.",888-250-8134 info@anti-pest-o.com,https://www.anti-pest-o.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,,,No
Agroneem Plus Agricultural,Azadirachtin,Y,http://www.agrian.com/pdfs/Agroneem_Plus_For_Agricultural_Horticultural__Greenhouse_Use_(101007)_Label.pdf,YES,70310-2,"Agro Logistic Systems, Inc.",Shyam Chari 714-990-9220 info@agrologistic.com,http://www.agrologistic.com,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://www.ipmcenters.org/pmsp/pdf/HIcoffeePMSP.pdf,YES,Yes
Golden Pest Spray Oil,Soybean oil,N,http://www.cdms.net/LDat/ld5OI006.pdf,YES,57538-11,"Stoller Enterprises, Ltd.",Geoff Bedard (306) 528-7309 gbedard@stollereneterprises.co,http://www.stollerusa.com/,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://www.cabi.org/isc/FullTextPDF/2005/20053165609.pdf,YES,No
Cinnacure 30%,Cinnamaldehyde,N,http://ir4.rutgers.edu/Biopesticides/Labels/Cinnacure30.pdf,YES,58866-12,"ProGuard, Inc.",,,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://ccfc.org/files/use_of_bio-1216260300.pdf,YES,No
Vegol Insecticidal Oil,Canola oil,Y,http://ir4.rutgers.edu/Biopesticides/Labels/Vegol.pdf,YES,67702-4,Neudorff,Lauren Hall 2506525888 x203 lauren@neudorff.ca,http://www.neudorff.com/neudorff-usa/home.html,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,http://goo.gl/dBiEUE,YES,Yes
Debug Turbo EC,Fats and Glyceridic Oils Margosa and Azadirachtin,Y,http://www.agrologistic.com/sg_userfiles/Debug_turbo.Agri.label.pdf,YES,70310-5,"Agro Logistic Systems, Inc.",Shyam Chari 714-990-9220 info@agrologistic.com,http://www.agrologistic.com,AK; AL; AR; AZ; CA; CO; CT; DC; DE; FL; GA; HI; IA; ID; IL; IN; KS; KY; LA; MA; MD; ME; MI; MN; MO; MS; MT; NC; ND; NE; NH; NJ; NM; NV; NY; OH; OK; OR; PA; PR; RI; SC; SD; TN; TX; UT; VA; VT; WA; WI; WV; WY;,4 hours,0 days,,,Yes
Captiva Prime,"Capsicum oleoresin extract, canola, garlic",Y,http://www.gowanco.com/sites/default/files/gowanco_com/_attachments/product/resource/label/captiva_prime_10163-336_01-r1016epa.pdf,YES,10163-336,Gowan Company,Nikki Yepez / Emily Foley 928-819-1516 efoley@gowanco.com,http://www.gowanco.com/,,4 hours,0 days,,,Yes
